group,attrs,packs,approx_groups_count,ml,number_entities,group_number_masked_product,material_type,optional_attrs,none_attrs,inferred_concentration,inferred_concentration_uom,inferred_packsize,inferred_packsize_uom,product,Item_Description,Item_Code,Secondary_Sales_UOM,Parent_Code,rowcd,percentage,mg,pack_size,misc,fraction,k,mg/ml,gm,liter,miu,pack_multiplier,mcg
alsatinib,,tablet,1,,"{'#': {'string': '20mg', 'type': 'measurement', 'number_string': (None, '20.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '60 s', 'type': 'measurement', 'number_string': (None, '60.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> tab <v>##<v> ,solid,,,20.0,mg,60.0,pack_size,ALSATINIB 20MG TAB (60'S),ALSATINIB 20MG TAB (60'S),FTZH01,,FTZH01,2021-06-04 19:25:39,,20.0,60.0,,,,,,,,,
alsatinib,,tablet,1,,"{'#': {'string': '50mg', 'type': 'measurement', 'number_string': (None, '50.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '60 s', 'type': 'measurement', 'number_string': (None, '60.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> tab <v>##<v> ,solid,,,50.0,mg,60.0,pack_size,ALSATINIB 50MG TAB (60'S),ALSATINIB 50MG TAB (60'S),FTZH11,,FTZH11,2021-06-04 19:25:39,,50.0,60.0,,,,,,,,,
alsatinib,,tablet,1,,"{'#': {'string': '100mg', 'type': 'measurement', 'number_string': (None, '100.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '30 s', 'type': 'measurement', 'number_string': (None, '30.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> tablet <v>##<v> ,solid,,,100.0,mg,30.0,pack_size,ALSATINIB 100MG Tablet (30S),ALSATINIB 100MG Tablet (30S),FTZH21,,FTZH21,2021-06-04 19:25:39,,100.0,30.0,,,,,,,,,
obetohep,,tablet,1,,"{'#': {'string': '5 mg', 'type': 'measurement', 'number_string': (None, '5.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> tablet <v>##<v> ,solid,,,5.0,mg,10.0,pack_size,OBETOHEP 5 MG Tablet (10’S),OBETOHEP 5 MG Tablet (10’S),FTZJ01,,FTZJ03,2021-06-04 19:25:39,,5.0,10.0,,,,,,,,,
obetohep,,tablet,1,,"{'#': {'string': '10 mg', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> tablet <v>##<v> ,solid,,,10.0,mg,10.0,pack_size,OBETOHEP 10 MG Tablet (10’S),OBETOHEP 10 MG Tablet (10’S),FTZJ11,,FTZJ13,2021-06-04 19:25:39,,10.0,10.0,,,,,,,,,
dapanorm,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '10', 'type': 'int', 'number_string': ('10.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> tablet <v>#<v> ,solid,,,10.0,,10.0,pack_size,DAPANORM 10 Tablet (10'S),DAPANORM 10 Tablet (10'S),FTZS01,,FTZS01,2021-06-04 19:25:39,,,10.0,10.0,,,,,,,,
dapanorm,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '5', 'type': 'int', 'number_string': ('5.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> tablet <v>#<v> ,solid,,,5.0,,10.0,pack_size,DAPANORM 5 Tablet (10'S),DAPANORM 5 Tablet (10'S),FTZS11,,FTZS11,2021-06-04 19:25:39,,,10.0,5.0,,,,,,,,
brivasure,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>'], 'after': ['<pack>']}}, '##': {'string': '50', 'type': 'int', 'number_string': ('50.0',), 'context': {'before': ['<group>'], 'after': ['<v>#<v>', '<pack>']}}}", <group> <v>##<v> <v>#<v> tablet ,solid,,,50.0,,10.0,pack_size,BRIVASURE 50 (10'S) TABLET,BRIVASURE 50 (10'S) TABLET,FTZZ22,,FTZZ21,2021-06-04 19:25:39,,,10.0,50.0,,,,,,,,
brivasure,,,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>'], 'after': []}}, '##': {'string': '25', 'type': 'int', 'number_string': ('25.0',), 'context': {'before': ['<group>'], 'after': ['<v>#<v>']}}}", <group> <v>##<v> <v>#<v> ,,,,25.0,,10.0,pack_size,BRIVASURE 25 (10'S),BRIVASURE 25 (10'S),FTZZ31,,FTZZ32,2021-06-04 19:25:39,,,10.0,25.0,,,,,,,,
clavpod,,syrup,1,30.0,"{'#': {'string': '30 ml', 'type': 'measurement', 'number_string': (None, '30.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<attr>', '<pack>'], 'after': []}}, '##': {'string': '50', 'type': 'int', 'number_string': ('50.0',), 'context': {'before': ['<group>'], 'after': ['<attr>', '<pack>', '<v>#<v>']}}}", <group> <v>##<v> dry syrup <v>#<v> ,liquid,dry,,50.0,,30.0,ml,CLAVPOD 50 DRY SYRUP (30ML),CLAVPOD 50 DRY SYRUP (30ML),ZD3101,,ZD3101,2021-06-04 19:25:39,,,,50.0,,,,,,,,
clavpod,,syrup,1,30.0,"{'#': {'string': '30 ml', 'type': 'measurement', 'number_string': (None, '30.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> ds dry syrup <v>#<v> dry syrup ,liquid,dry dry ds,,,,30.0,ml,CLAVPOD DS DRY SYRUP (30ML) DRY SYRUP,CLAVPOD DS DRY SYRUP (30ML) DRY SYRUP,ZD3111,,ZD3111,2021-06-04 19:25:39,,,,,,,,,,,,
3cef,novo,injection,1,,"{'#': {'string': '375', 'type': 'int', 'number_string': ('375.0',), 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>']}}}", <group> novo <v>#<v> injection ,liquid,,,375.0,,,,3 CEF NOVO 375 INJECTION,3 CEF NOVO 375 INJECTION,ZI0501,,ZI0501,2021-06-04 19:25:39,,,,375.0,,,,,,,,
3cef,novo,injection,1,,"{'#': {'string': '750', 'type': 'int', 'number_string': ('750.0',), 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>']}}}", <group> novo <v>#<v> injection ,liquid,,,750.0,,,,3 CEF NOVO 750 INJECTION,3 CEF NOVO 750 INJECTION,ZI0511,,ZI0511,2021-06-04 19:25:39,,,,750.0,,,,,,,,
3cef,novo,injection,1,,"{'#': {'string': '1.5', 'type': 'float', 'number_string': ('1.5',), 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>']}}}", <group> novo <v>#<v> injection ,liquid,,,1.5,,,,3 CEF NOVO 1.5 INJECTION,3 CEF NOVO 1.5 INJECTION,ZI0521,,ZI0521,2021-06-04 19:25:39,,,,1.5,,,,,,,,
indikof,b,,1,100.0,"{'#': {'string': '100 ml', 'type': 'measurement', 'number_string': (None, '100.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> b <v>#<v> liquid ,liquid,,,,,100.0,ml,INDIKOF B  (100ML) LIQUID,INDIKOF B  (100ML) LIQUID,ZL0421,,ZL0421,2021-06-04 19:25:39,,,,,,,,,,,,
indikof,ls,syrup,1,60.0,"{'#': {'string': '60 ml', 'type': 'measurement', 'number_string': (None, '60.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> ls syrup <v>#<v> ,liquid,,,,,60.0,ml,INDIKOF LS SYRUP (60ML),INDIKOF LS SYRUP (60ML),ZL0441,,FLYV02,2021-06-04 19:25:39,,,,,,,,,,,,
puc,,syrup,1,60.0,"{'#': {'string': '60 ml', 'type': 'measurement', 'number_string': (None, '60.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> suspension <v>#<v> ,liquid,,,,,60.0,ml,P.U.C.SUSPENSION  (60ML),P.U.C.SUSPENSION  (60ML),ZL2301,,ZL2301,2021-06-04 19:25:39,,,,,,,,,,,,
puc,,syrup,1,60.0,"{'#': {'string': '60 ml', 'type': 'measurement', 'number_string': (None, '60.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '250', 'type': 'int', 'number_string': ('250.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> suspension <v>#<v> ,liquid,,,250.0,,60.0,ml,P.U.C.250 SUSPENSION  (60ML),P.U.C.250 SUSPENSION  (60ML),ZL2311,,ZL2311,2021-06-04 19:25:39,,,,250.0,,,,,,,,
puc,,drops,1,15.0,"{'#': {'string': '15 ml', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> drops <v>#<v> ,liquid,,,,,15.0,ml,P.U.C.DROPS (15ML),P.U.C.DROPS (15ML),ZO2301,,ZO2301,2021-06-04 19:25:39,,,,,,,,,,,,
ronflox,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '400', 'type': 'int', 'number_string': ('400.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> tablet <v>#<v> ,solid,,,400.0,,10.0,pack_size,RONFLOX 400 Tablet  (10S),RONFLOX 400 Tablet  (10S),ZT0811,,ZT0811,2021-06-04 19:25:39,,,10.0,400.0,,,,,,,,
fenceta,novo,tablet,1,,"{'#': {'string': '325mg', 'type': 'measurement', 'number_string': (None, '325.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}}", <group> novo <v>#<v> tablet ,solid,,,325.0,mg,,,FENCETA NOVO 325MG TABLET,FENCETA NOVO 325MG TABLET,ZT0913,,ZT0913,2021-06-04 19:25:39,,325.0,,,,,,,,,,
fenceta,,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '325', 'type': 'int', 'number_string': ('325.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> tablet <v>#<v> ,solid,,,325.0,,15.0,pack_size,FENCETA 325 Tablet (15'S),FENCETA 325 Tablet (15'S),ZT0931,,ZT0931,2021-06-04 19:25:39,,,15.0,325.0,,,,,,,,
freeair,nasal md,spray,1,,"{'#': {'string': '6 gm', 'type': 'measurement', 'number_string': (None, '6.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<pack>'], 'after': ['<v>##<v>', '<attr>']}}, '##': {'string': '120', 'type': 'int', 'number_string': ('120.0',), 'context': {'before': ['<group>', '<attr>', '<pack>', '<v>#<v>'], 'after': ['<attr>']}}}", <group> nasal spray <v>#<v> <v>##<v> md ,liquid,,,,,6.0,gm,FREEAIR NASAL SPRAY (6 GM) 120 MD,FREEAIR NASAL SPRAY (6 GM) 120 MD,FATP01,,FATP01,2021-06-04 19:28:00,,,,120.0,,,,6.0,,,,
rhamo,g,satchet,1,,"{'#': {'string': '1gm', 'type': 'measurement', 'number_string': (None, '1.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<pack>'], 'after': []}}}", <group> g sachets <v>#<v> ,solid,,,,,1.0,gm,RHAMO G SACHETS 1GM,RHAMO G SACHETS 1GM,FHZE01,,FHZE01,2021-06-04 19:28:00,,,,,,,,1.0,,,,
taxim,hs,injection,1,,"{'#': {'string': '1 gm', 'type': 'measurement', 'number_string': (None, '1.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>'], 'after': ['<pack>', '<attr>']}}}", <group> <v>#<v> injection hospital supply ,liquid,,,1.0,gm,,,TAXIM 1 GM INJECTION ( HOSPITAL SUPPLY),TAXIM 1 GM INJECTION ( HOSPITAL SUPPLY),FI3932,,FI3932,2021-06-04 19:28:00,,,,,,,,1.0,,,,
fulvetraz,,injection,1,,"{'#': {'string': '1 s', 'type': 'measurement', 'number_string': (None, '1.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> injection <v>#<v> ,liquid,,,,,1.0,pack_size,FULVETRAZ INJECTION (1'S),FULVETRAZ INJECTION (1'S),FISY01,,FISY01,2021-06-04 19:28:00,,,1.0,,,,,,,,,
fulvetraz,twin,injection,1,,{}, <group> injection twin pack ,liquid,pack,,,,,,FULVETRAZ INJECTION (TWIN PACK),FULVETRAZ INJECTION (TWIN PACK),FISY02,,FISY02,2021-06-04 19:28:00,,,,,,,,,,,,
sunheal,pure,cream,1,,"{'#': {'string': '30 gm', 'type': 'measurement', 'number_string': (None, '30.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<pack>'], 'after': []}}}", <group> pure cream <v>#<v> ,solid,,,,,30.0,gm,SUNHEAL PURE CREAM (30GM),SUNHEAL PURE CREAM (30GM),FRSC01,,FRSC01,2021-06-04 19:28:00,,,,,,,,30.0,,,,
clindac,ap,gel,1,,"{'#': {'string': '15 g', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<pack>'], 'after': []}}}", <group> ap gel <v>#<v> ,solid,,,,,15.0,gm,CLINDAC AP GEL (15G),CLINDAC AP GEL (15G),FRTZ31,,FRTZ32,2021-06-04 19:28:00,,,,,,,,15.0,,,,
tacrovera,,ointment,1,,"{'#': {'string': '15 gm', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<pack>'], 'after': []}}}", <group> ointment <v>#<v> ,solid,,,,,15.0,gm,TACROVERA OINTMENT (15GM),TACROVERA OINTMENT (15GM),FRUB02,,FRUB02,2021-06-04 19:28:00,,,,,,,,15.0,,,,
tacrovera,forte,ointment,1,,"{'#': {'string': '15 gm', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<pack>'], 'after': []}}}", <group> forte ointment <v>#<v> ,solid,,,,,15.0,gm,TACROVERA FORTE OINTMENT (15GM),TACROVERA FORTE OINTMENT (15GM),FRUB13,,FRUB13,2021-06-04 19:28:00,,,,,,,,15.0,,,,
lilituf,,cream,1,,"{'#': {'string': '30 gm', 'type': 'measurement', 'number_string': (None, '30.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '30', 'type': 'int', 'number_string': ('30.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> cream <v>#<v> ,solid,,,30.0,,30.0,gm,LILITUF 30 CREAM (30 GM),LILITUF 30 CREAM (30 GM),FRWB04,,FSWB02,2021-06-04 19:28:00,,,,30.0,,,,30.0,,,,
lilituf,,"cream,gel",1,,"{'#': {'string': '1 s', 'type': 'measurement', 'number_string': (None, '1.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>###<v>'], 'after': ['<v>##<v>', '<attr>', '<pack>', '<pack>']}}, '##': {'string': '50gm', 'type': 'measurement', 'number_string': (None, '50.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>###<v>', '<v>#<v>'], 'after': ['<attr>', '<pack>', '<pack>']}}, '###': {'string': '50', 'type': 'int', 'number_string': ('50.0',), 'context': {'before': ['<group>'], 'after': ['<v>#<v>', '<v>##<v>', '<attr>', '<pack>', '<pack>']}}}", <group> <v>###<v> <v>#<v>  <v>##<v> pack gel cream ,solid,pack,,50.0,,1.0,pack_size,LILITUF 50 (1'S) 50GM PACK GEL/CREAM,LILITUF 50 (1'S) 50GM PACK GEL/CREAM,FRWB11,,FSWB03,2021-06-04 19:28:00,,,1.0,50.0,,,,50.0,,,,
povirobes,,ointment,1,,"{'#': {'string': '15 gm', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<pack>'], 'after': []}}}", <group> ointment <v>#<v> ,solid,,,,,15.0,gm,POVIROBES OINTMENT (15GM),POVIROBES OINTMENT (15GM),FRXA01,,FRXA01,2021-06-04 19:28:00,,,,,,,,15.0,,,,
olesoft,soaps ph,,1,,"{'#': {'string': '75 gms', 'type': 'measurement', 'number_string': (None, '75.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<v>##<v>'], 'after': ['<attr>']}}, '##': {'string': '5.5', 'type': 'float', 'number_string': ('5.5',), 'context': {'before': ['<group>', '<attr>'], 'after': ['<v>#<v>', '<attr>']}}}", <group> ph <v>##<v> <v>#<v> soaps ,,,,5.5,,75.0,gm,OLESOFT PH 5.5  (75GMS) SOAPS,OLESOFT PH 5.5  (75GMS) SOAPS,FSLK21,,FSLK21,2021-06-04 19:28:00,,,,5.5,,,,75.0,,,,
olesoft,max,cream,1,,"{'#': {'string': '150 gm', 'type': 'measurement', 'number_string': (None, '150.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<attr>', '<group>', '<attr>', '<pack>'], 'after': []}}}", new <group> max cream <v>#<v> ,solid,new,,,,150.0,gm,NEW OLESOFT MAX CREAM (150GM),NEW OLESOFT MAX CREAM (150GM),FSLK51,,FSLK51,2021-06-04 19:28:00,,,,,,,,150.0,,,,
olesoft,max,cream,1,,"{'#': {'string': '300 gm', 'type': 'measurement', 'number_string': (None, '300.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<attr>', '<group>', '<attr>', '<pack>'], 'after': []}}}", new <group> max cream <v>#<v> ,solid,new,,,,300.0,gm,NEW OLESOFT MAX CREAM (300GM),NEW OLESOFT MAX CREAM (300GM),FSLK52,,FSLK52,2021-06-04 19:28:00,,,,,,,,300.0,,,,
olesoft,ppk,cream,1,,"{'#': {'string': '100 gm', 'type': 'measurement', 'number_string': (None, '100.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<pack>'], 'after': []}}}", <group> ppk cream <v>#<v> ,solid,,,,,100.0,gm,OLESOFT PPK CREAM (100GM),OLESOFT PPK CREAM (100GM),FSLK61,,FSLK61,2021-06-04 19:28:00,,,,,,,,100.0,,,,
terbikem,,cream,1,,"{'#': {'string': '30 gm', 'type': 'measurement', 'number_string': (None, '30.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<pack>'], 'after': []}}}", <group> cream <v>#<v> ,solid,,,,,30.0,gm,TERBIKEM CREAM (30GM),TERBIKEM CREAM (30GM),FSMO02,,FSMO02,2021-06-04 19:28:00,,,,,,,,30.0,,,,
kojiglo,,cream,1,,"{'#': {'string': '20gms', 'type': 'measurement', 'number_string': (None, '20.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<pack>'], 'after': []}}}", <group> cream <v>#<v> ,solid,,,,,20.0,gm,KOJIGLO CREAM 20GMS,KOJIGLO CREAM 20GMS,FSNX03,,FSNX03,2021-06-04 19:28:00,,,,,,,,20.0,,,,
kojiglo,forte,cream,1,,"{'#': {'string': '20 gm', 'type': 'measurement', 'number_string': (None, '20.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<pack>'], 'after': []}}}", <group> forte cream <v>#<v> ,solid,,,,,20.0,gm,KOJIGLO FORTE CREAM (20GM),KOJIGLO FORTE CREAM (20GM),FSNX12,,FSNX12,2021-06-04 19:28:00,,,,,,,,20.0,,,,
kojiglo,gold,cream,1,,"{'#': {'string': '20 gm', 'type': 'measurement', 'number_string': (None, '20.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<pack>'], 'after': []}}}", <group> gold cream <v>#<v> ,solid,,,,,20.0,gm,KOJIGLO GOLD CREAM (20GM),KOJIGLO GOLD CREAM (20GM),FSNX21,,FSNX21,2021-06-04 19:28:00,,,,,,,,20.0,,,,
renocia,revitalizing hair,conditioner,1,,{}, <group> hair revitalizing conditioner ,liquid,,,,,,,RENOCIA HAIR REVITALIZING CONDITIONER,RENOCIA HAIR REVITALIZING CONDITIONER,FSRA01,,FSRA01,2021-06-04 19:28:00,,,,,,,,,,,,
sunheal,,cream,1,,"{'#': {'string': '50 gm', 'type': 'measurement', 'number_string': (None, '50.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<pack>'], 'after': []}}}", <group> cream <v>#<v> ,solid,,,,,50.0,gm,SUNHEAL CREAM (50GM),SUNHEAL CREAM (50GM),FSSC01,,FSSC02,2021-06-04 19:28:00,,,,,,,,50.0,,,,
clindac,a,gel,1,,"{'#': {'string': '20 gm', 'type': 'measurement', 'number_string': (None, '20.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<pack>'], 'after': []}}}", <group> a gel <v>#<v> ,solid,,,,,20.0,gm,CLINDAC A GEL (20GM),CLINDAC A GEL (20GM),FSTZ01,,FSTZ02,2021-06-04 19:28:00,,,,,,,,20.0,,,,
lulihalt,,cream,1,,"{'#': {'string': '10 g', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<pack>'], 'after': []}}}", <group> cream <v>#<v> ,solid,,,,,10.0,gm,LULIHALT CREAM (10G),LULIHALT CREAM (10G),FSYB01,,FSYB01,2021-06-04 19:28:00,,,,,,,,10.0,,,,
lulihalt,,cream,1,,"{'#': {'string': '30 g', 'type': 'measurement', 'number_string': (None, '30.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<pack>'], 'after': []}}}", <group> cream <v>#<v> ,solid,,,,,30.0,gm,LULIHALT CREAM (30G),LULIHALT CREAM (30G),FSYB02,,FSYB02,2021-06-04 19:28:00,,,,,,,,30.0,,,,
ZAXTER,,injection,1,,"{'#': {'string': '1gm', 'type': 'measurement', 'number_string': (None, '1.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>'], 'after': ['<pack>', '<pack>']}}}", <group> <v>#<v> injection vial ,liquid,,,1.0,gm,,,ZAXTER  1GM INJECTION (VIAL),ZAXTER  1GM INJECTION (VIAL),FIFC01,,FIFC01,2021-07-27 20:11:06,,,,,,,,1.0,,,,
ZAXTER,,injection,1,,"{'#': {'string': '500 mg', 'type': 'measurement', 'number_string': (None, '500.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}}", <group> <v>#<v> injection vial ,liquid,,,500.0,mg,,,ZAXTER  500 MG INJECTION (VIAL),ZAXTER  500 MG INJECTION (VIAL),FIFC11,,FIFC11,2021-07-27 20:11:06,,500.0,,,,,,,,,,
ZAXTER,,injection,1,,"{'#': {'string': '125 mg', 'type': 'measurement', 'number_string': (None, '125.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}}", <group> <v>#<v> injection vial ,liquid,,,125.0,mg,,,ZAXTER 125 MG INJECTION (VIAL),ZAXTER 125 MG INJECTION (VIAL),FIFC21,,FIFC21,2021-07-27 20:11:06,,125.0,,,,,,,,,,
ZAXTER,,injection,1,,"{'#': {'string': '250 mg', 'type': 'measurement', 'number_string': (None, '250.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}}", <group> <v>#<v> injection vial ,liquid,,,250.0,mg,,,ZAXTER 250 MG INJECTION (VIAL),ZAXTER 250 MG INJECTION (VIAL),FIFC81,,FIFC81,2021-07-27 20:11:06,,250.0,,,,,,,,,,
ZAXTER,kit,injection,1,,"{'#': {'string': '1g', 'type': 'measurement', 'number_string': (None, '1.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>', '<pack>']}}}", <group> kit <v>#<v> injection vial ,liquid,,,1.0,gm,,,ZAXTER KIT 1G INJECTION (VIAL),ZAXTER KIT 1G INJECTION (VIAL),FIFC53,,FIFC53,2021-07-27 20:11:06,,,,,,,,1.0,,,,
ZAXTER,xp,injection,1,,{}, <group> xp injection vial ,liquid,,,,,,,ZAXTER-XP INJECTION (VIAL),ZAXTER-XP INJECTION (VIAL),FIFC62,,FIFC62,2021-07-27 20:11:06,,,,,,,,,,,,
zithium,,tablet,1,,"{'#': {'string': '6 s', 'type': 'measurement', 'number_string': (None, '6.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '250', 'type': 'int', 'number_string': ('250.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> tablet <v>#<v> ,solid,,,250.0,,6.0,pack_size,ZITHIUM 250 Tablet  (6S),ZITHIUM 250 Tablet  (6S),ZT0303,,ZT0303,2021-07-27 20:11:06,,,6.0,250.0,,,,,,,,
zithium,,tablet,1,,"{'#': {'string': '5 s', 'type': 'measurement', 'number_string': (None, '5.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '500', 'type': 'int', 'number_string': ('500.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> tablet <v>#<v> ,solid,,,500.0,,5.0,pack_size,ZITHIUM 500 Tablet (5S),ZITHIUM 500 Tablet (5S),ZT0316,,ZT0316,2021-07-27 20:11:06,,,5.0,500.0,,,,,,,,
zithium,,syrup,1,15.0,"{'#': {'string': '15 ml', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> ds oral suspension <v>#<v> ,liquid,oral ds,,,,15.0,ml,ZITHIUM DS ORAL SUSPENSION  (15ML),ZITHIUM DS ORAL SUSPENSION  (15ML),ZL0311,,ZL0311,2021-07-27 20:11:06,,,,,,,,,,,,
